num,BTID,BLID,latTrap,lonTrap,elevTrap,locality,country,province,sample,collector,trapType,startYear,startMonth,startDay,florelation,Order,Genus,Species,Family,Sex,subgenus,Notes,endMonth,endDay,endYear,assocphoto,inatLink,FolderLocation
56,RRAB23-56,RRAB23-56,49.106,-111.698,980,Milk River Bridge,"CA, AB",Milk River,20,R. Rampton,Net,2023,5,30,Hymenoxys richardsonii,,,,,,,,NA,NA,NA,,,
57,RRAB23-57,RRAB23-57,51.01,-114.297,1070,Griffith Woods,"CA, AB",Calgary,21,R. Rampton,Net,2023,6,7,Taraxacum officiniale,,Stelis,,,,,,NA,NA,NA,,,
58,RRAB23-58,RRAB23-58,51.047,-114.041,1060,St. Patrick's Island,"CA, AB",Calgary,22,R. Rampton,Net,2023,6,10,Lotus corniculatus,,Bombus,nevadensis,,,,,NA,NA,NA,,,
59,RRAB23-59,RRAB23-59,51.094,-114.101,1100,Nose Hill,"CA, AB",Calgary,23,R. Rampton,Net,2023,7,1,Lygodesmia juncea,,,,,,,,NA,NA,NA,,,
60,RRAB23-60,RRAB23-60,51.094,-114.101,1100,Nose Hill,"CA, AB",Calgary,23,R. Rampton,Net,2023,7,1,Lygodesmia juncea,,,,,,,,NA,NA,NA,,,
61,RRAB23-61,RRAB23-61,51.094,-114.101,1100,Nose Hill,"CA, AB",Calgary,24,R. Rampton,Net,2023,7,1,Solidago,,,,,,,,NA,NA,NA,,,
62,RRAB23-62,RRAB23-62,51.091,-114.182,1070,Bowmont,"CA, AB",Calgary,25,R. Rampton,Net,2023,7,8,Solidago,,,,,,,,NA,NA,NA,,,
63,RRAB23-63,RRAB23-63,51.091,-114.182,1070,Bowmont,"CA, AB",Calgary,26,R. Rampton,Net,2023,7,8,Monarda fistulosa,,,,,,,,NA,NA,NA,,,
64,RRAB23-64,RRAB23-64,51.091,-114.182,1070,Bowmont,"CA, AB",Calgary,26,R. Rampton,Net,2023,7,8,Monarda fistulosa,,,,,,,,NA,NA,NA,,,
65,RRAB23-65,RRAB23-65,51.009,-114.212,1150,Griffith Woods,"CA, AB",Calgary,27,R. Rampton,Net,2023,7,15,Solidago,,,,,,,,NA,NA,NA,,,
66,RRAB23-66,RRAB23-66,51.102,-114.121,1190,Nose Hill,"CA, AB",Calgary,28,R. Rampton,Net,2023,8,17,Solidago,,Colletes,,,,,,NA,NA,NA,,,
67,RRAB23-67,RRAB23-67,51.102,-114.121,1190,Nose Hill,"CA, AB",Calgary,29,R. Rampton,Net,2023,8,17,Lygodesmia juncea,,Osmia,,,,,,NA,NA,NA,,,
68,RRAB23-68,RRAB23-68,51.102,-114.121,1190,Nose Hill,"CA, AB",Calgary,30,R. Rampton,Net,2023,8,17,Cirsium arvense,,Bombus,,,,,,NA,NA,NA,,,
69,RRAB23-69,RRAB23-69,51.102,-114.121,1190,Nose Hill,"CA, AB",Calgary,30,R. Rampton,Net,2023,8,17,Cirsium arvense,,wasps,,,,,,NA,NA,NA,,,
70,RRAB23-70,RRAB23-70,51.102,-114.121,1190,Nose Hill,"CA, AB",Calgary,30,R. Rampton,Net,2023,8,17,Cirsium arvense,,wasps,,,,,,NA,NA,NA,,,
71,RRBC23-1,RRBC23-1,50.762,-120.871,390,Bone Collector,"CA, BC",Savona,1,R. Rampton,Net,2023,5,13,Alyssum desertorum,Hymenoptera,Lasioglossum,,Halictidae,F,,,NA,NA,NA,,,
72,RRBC23-2,RRBC23-2,50.762,-120.871,390,Bone Collector,"CA, BC",Savona,1,R. Rampton,Net,2023,5,13,Alyssum desertorum,Hymenoptera,,,,,,,NA,NA,NA,,,
73,RRBC23-3,RRBC23-3,50.762,-120.871,390,Bone Collector,"CA, BC",Savona,1,R. Rampton,Net,2023,5,13,Alyssum desertorum,,,,,,,,NA,NA,NA,,,
74,RRBC23-4,RRBC23-4,50.762,-120.871,390,Bone Collector,"CA, BC",Savona,1,R. Rampton,Net,2023,5,13,Alyssum desertorum,,,,,,,,NA,NA,NA,,,
75,RRBC23-5,RRBC23-5,50.762,-120.871,390,Bone Collector,"CA, BC",Savona,1,R. Rampton,Net,2023,5,13,Alyssum desertorum,,,,,,,,NA,NA,NA,,,
76,RRBC23-6,RRBC23-6,50.762,-120.871,390,Bone Collector,"CA, BC",Savona,1,R. Rampton,Net,2023,5,13,Alyssum desertorum,,,,,,,,NA,NA,NA,,,
77,RRBC23-7,RRBC23-7,50.762,-120.871,390,Bone Collector,"CA, BC",Savona,1,R. Rampton,Net,2023,5,13,Alyssum desertorum,,,,,,,,NA,NA,NA,,,
78,RRBC23-8,RRBC23-8,50.762,-120.871,390,Bone Collector,"CA, BC",Savona,1,R. Rampton,Net,2023,5,13,Alyssum desertorum,,,,,,,,NA,NA,NA,,,
79,RRBC23-9,RRBC23-9,50.762,-120.871,390,Bone Collector,"CA, BC",Savona,1,R. Rampton,Net,2023,5,13,Alyssum desertorum,,,,,,,,NA,NA,NA,,,
80,RRBC23-10,RRBC23-10,50.762,-120.871,390,Bone Collector,"CA, BC",Savona,1,R. Rampton,Net,2023,5,13,Alyssum desertorum,,,,,,,,NA,NA,NA,,,
81,RRBC23-11,RRBC23-11,50.762,-120.871,390,Bone Collector,"CA, BC",Savona,1,R. Rampton,Net,2023,5,13,Alyssum desertorum,,,,,,,,NA,NA,NA,,,
82,RRBC23-12,RRBC23-12,50.762,-120.871,390,Bone Collector,"CA, BC",Savona,1,R. Rampton,Net,2023,5,13,Alyssum desertorum,,,,,,,,NA,NA,NA,,,
83,RRBC23-13,RRBC23-13,50.762,-120.871,390,Bone Collector,"CA, BC",Savona,1,R. Rampton,Net,2023,5,13,Alyssum desertorum,,,,,,,,NA,NA,NA,,,
84,RRBC23-14,RRBC23-14,49.64,-115.601,920,Brewery Ridge Butte,"CA, BC",Ft. Steele,2,R. Rampton,Net,2023,5,31,Calochortus apiculatus,,,,,,,,NA,NA,NA,,,
85,RRBC23-15,RRBC23-15,49.64,-115.601,920,Brewery Ridge Butte,"CA, BC",Ft. Steele,2,R. Rampton,Net,2023,5,31,Calochortus apiculatus,,,,,,,,NA,NA,NA,,,
86,RRBC23-16,RRBC23-16,49.64,-115.601,920,Brewery Ridge Butte,"CA, BC",Ft. Steele,2,R. Rampton,Net,2023,5,31,Calochortus apiculatus,,,,,,,,NA,NA,NA,,,
87,RRBC23-17,RRBC23-17,49.64,-115.601,920,Brewery Ridge Butte,"CA, BC",Ft. Steele,2,R. Rampton,Net,2023,5,31,Calochortus apiculatus,,,,,,,,NA,NA,NA,,,
88,RRBC23-18,RRBC23-18,49.64,-115.601,920,Brewery Ridge Butte,"CA, BC",Ft. Steele,2,R. Rampton,Net,2023,5,31,Calochortus apiculatus,,,,,,,,NA,NA,NA,,,
89,RRBC23-19,RRBC23-19,49.64,-115.601,920,Brewery Ridge Butte,"CA, BC",Ft. Steele,2,R. Rampton,Net,2023,5,31,Calochortus apiculatus,,,,,,,,NA,NA,NA,,,
90,RRBC23-20,RRBC23-20,49.64,-115.601,920,Brewery Ridge Butte,"CA, BC",Ft. Steele,3,R. Rampton,Net,2023,5,31,Toxicoscordion venenosum,,,,,,,,NA,NA,NA,,,
91,RRBC23-21,RRBC23-21,49.64,-115.601,920,Brewery Ridge Butte,"CA, BC",Ft. Steele,4,R. Rampton,Net,2023,5,31,Heterotheca villosa,,,,,,,,NA,NA,NA,,,
92,RRBC23-22,RRBC23-22,49.64,-115.601,920,Brewery Ridge Butte,"CA, BC",Ft. Steele,4,R. Rampton,Net,2023,5,31,Heterotheca villosa,,,,,,,,NA,NA,NA,,,
93,RRBC23-23,RRBC23-23,49.64,-115.601,920,Brewery Ridge Butte,"CA, BC",Ft. Steele,4,R. Rampton,Net,2023,5,31,Heterotheca villosa,,,,,,,,NA,NA,NA,,,
94,RRBC23-24,RRBC23-24,49.64,-115.601,920,Brewery Ridge Butte,"CA, BC",Ft. Steele,4,R. Rampton,Net,2023,5,31,Heterotheca villosa,,,,,,,,NA,NA,NA,,,
95,RRBC23-25,RRBC23-25,49.64,-115.601,920,Brewery Ridge Butte,"CA, BC",Ft. Steele,4,R. Rampton,Net,2023,5,31,Heterotheca villosa,,,,,,,,NA,NA,NA,,,
96,RRBC23-26,RRBC23-26,49.64,-115.601,920,Brewery Ridge Butte,"CA, BC",Ft. Steele,5,R. Rampton,Net,2023,5,31,NA,,,,,,,,NA,NA,NA,,,
97,RRBC23-27,RRBC23-27,49.64,-115.601,920,Brewery Ridge Butte,"CA, BC",Ft. Steele,6,R. Rampton,Net,2023,5,31,Gaillardia aristata,,,,,,,,NA,NA,NA,,,
98,RRBC23-28,RRBC23-28,49.64,-115.601,920,Brewery Ridge Butte,"CA, BC",Ft. Steele,6,R. Rampton,Net,2023,5,31,Gaillardia aristata,,,,,,,,NA,NA,NA,,,
99,RRBC23-29,RRBC23-29,49.64,-115.601,920,Brewery Ridge Butte,"CA, BC",Ft. Steele,7,R. Rampton,Net,2023,5,31,Penstemon eriantherus,,,,,,,,NA,NA,NA,,,
100,RRBC23-30,RRBC23-30,49.64,-115.601,920,Brewery Ridge Butte,"CA, BC",Ft. Steele,7,R. Rampton,Net,2023,5,31,Penstemon eriantherus,,,,,,,,NA,NA,NA,,,
101,RRBC23-31,RRBC23-31,49.64,-115.601,920,Brewery Ridge Butte,"CA, BC",Ft. Steele,7,R. Rampton,Net,2023,5,31,Penstemon eriantherus,,,,,,,,NA,NA,NA,,,
102,RRBC23-32,RRBC23-32,49.64,-115.601,920,Brewery Ridge Butte,"CA, BC",Ft. Steele,7,R. Rampton,Net,2023,5,31,Penstemon eriantherus,,,,,,,,NA,NA,NA,,,
103,RRBC23-33,RRBC23-33,49.64,-115.601,920,Brewery Ridge Butte,"CA, BC",Ft. Steele,8,R. Rampton,Net,2023,5,31,Apocynum androsaemifolium,,,,,,,,NA,NA,NA,,,
104,RRBC23-34,RRBC23-34,49.64,-115.601,920,Brewery Ridge Butte,"CA, BC",Ft. Steele,8,R. Rampton,Net,2023,5,31,Apocynum androsaemifolium,,,,,,,,NA,NA,NA,,,
105,RRBC23-35,RRBC23-35,49.64,-115.601,920,Brewery Ridge Butte,"CA, BC",Ft. Steele,8,R. Rampton,Net,2023,5,31,Apocynum androsaemifolium,,,,,,,,NA,NA,NA,,,
106,RRBC23-36,RRBC23-36,50.553,-116.126,1010,Horsethief Canyon,"CA, BC",Wilmer,9,R. Rampton,Net,2023,6,1,Taraxacum officiniale,,,,,,,,NA,NA,NA,,,
107,RRBC23-37,RRBC23-37,50.553,-116.126,1010,Horsethief Canyon,"CA, BC",Wilmer,10,R. Rampton,Net,2023,6,1,Erigeron linearis,,,,,,,,NA,NA,NA,,,
108,RRBC23-38,RRBC23-38,50.553,-116.126,1010,Horsethief Canyon,"CA, BC",Wilmer,10,R. Rampton,Net,2023,6,1,Erigeron linearis,,,,,,,,NA,NA,NA,,,
109,RRBC23-39,RRBC23-39,50.553,-116.126,1010,Horsethief Canyon,"CA, BC",Wilmer,10,R. Rampton,Net,2023,6,1,Erigeron linearis,,,,,,,,NA,NA,NA,,,
110,RRBC23-40,RRBC23-40,50.553,-116.126,1010,Horsethief Canyon,"CA, BC",Wilmer,10,R. Rampton,Net,2023,6,1,Erigeron linearis,,,,,,,,NA,NA,NA,,,
111,RRBC23-41,RRBC23-41,50.553,-116.126,1010,Horsethief Canyon,"CA, BC",Wilmer,11,R. Rampton,Net,2023,6,1,Astragalus miser,,,,,,,,NA,NA,NA,,,
112,RRBC23-42,RRBC23-42,50.553,-116.126,1010,Horsethief Canyon,"CA, BC",Wilmer,11,R. Rampton,Net,2023,6,1,Astragalus miser,,,,,,,,NA,NA,NA,,,
113,RRBC23-43,RRBC23-43,50.553,-116.126,1010,Horsethief Canyon,"CA, BC",Wilmer,11,R. Rampton,Net,2023,6,1,Astragalus miser,,,,,,,,NA,NA,NA,,,
114,RRBC23-44,RRBC23-44,50.553,-116.126,1010,Horsethief Canyon,"CA, BC",Wilmer,11,R. Rampton,Net,2023,6,1,Astragalus miser,,,,,,,,NA,NA,NA,,,
115,RRBC23-45,RRBC23-45,50.553,-116.126,1010,Horsethief Canyon,"CA, BC",Wilmer,11,R. Rampton,Net,2023,6,1,Astragalus miser,,,,,,,,NA,NA,NA,,,
116,RRBC23-46,RRBC23-46,50.553,-116.126,1010,Horsethief Canyon,"CA, BC",Wilmer,11,R. Rampton,Net,2023,6,1,Astragalus miser,,,,,,,,NA,NA,NA,,,
117,RRBC23-47,RRBC23-47,50.553,-116.126,1010,Horsethief Canyon,"CA, BC",Wilmer,11,R. Rampton,Net,2023,6,1,Astragalus miser,,,,,,,,NA,NA,NA,,,
118,RRBC23-48,RRBC23-48,50.553,-116.126,1010,Horsethief Canyon,"CA, BC",Wilmer,12,R. Rampton,Net,2023,6,1,NA,,,,,,,,NA,NA,NA,,,
119,RRBC23-49,RRBC23-49,50.553,-116.126,1010,Horsethief Canyon,"CA, BC",Wilmer,12,R. Rampton,Net,2023,6,1,NA,,,,,,,,NA,NA,NA,,,
120,RRBC23-50,RRBC23-50,51.508,-117.229,770,Bluewater Crk Rec Site,"CA, BC",Donald,13,R. Rampton,Net,2023,6,21,Campanula rotundifolia,,,,,,,,NA,NA,NA,,,
121,RRBC23-51,RRBC23-51,51.514,-117.212,770,Bluewater Crk Rec Site,"CA, BC",Donald,13,R. Rampton,Net,2023,6,21,Trifolium pratense,,,,,,,,NA,NA,NA,,,
122,RRBC23-52,RRBC23-52,51.514,-117.212,770,Bluewater Crk Rec Site,"CA, BC",Donald,13,R. Rampton,Net,2023,6,21,Leucanthemum vulgare,,,,,,,,NA,NA,NA,,,
123,RRBC23-53,RRBC23-53,49.198,-119.715,630,RandomStop,"CA, BC",Cawston,14,R. Rampton,Net,2023,7,23,Grindelia squarrosa,,Hylaeus,,,,,,NA,NA,NA,,,
124,RRBC23-54,RRBC23-54,49.198,-119.715,630,RandomStop,"CA, BC",Cawston,14,R. Rampton,Net,2023,7,23,Grindelia squarrosa,,Halictus,ligatus,,,,,NA,NA,NA,,,
125,RRBC23-55,RRBC23-55,49.198,-119.715,630,RandomStop,"CA, BC",Cawston,14,R. Rampton,Net,2023,7,23,Grindelia squarrosa,,Halictus,ligatus,,,,,NA,NA,NA,,,
126,RRBC23-56,RRBC23-56,49.198,-119.715,630,RandomStop,"CA, BC",Cawston,14,R. Rampton,Net,2023,7,23,Grindelia squarrosa,,Halictus,ligatus,,,,,NA,NA,NA,,,
127,RRBC23-57,RRBC23-57,49.198,-119.715,630,RandomStop,"CA, BC",Cawston,14,R. Rampton,Net,2023,7,23,Grindelia squarrosa,,Halictus,ligatus,,,,,NA,NA,NA,,,
